text_id,post_text,sentiment_label,topic_category
TXT_00001,some1 come wait in line with me Thursday at 3@target bc briana is being a bitch,Negative,Community_Discussion
TXT_00002,Mancity strikers Aguero and Dzeko you better thrash Bolton tomorrow night!,Positive,Community_Discussion
TXT_00003,Would you like to join us at our annual gala at the Sandman Signature Resort on Oct 25? Contact our centre at 6042773100 for tickets!,Positive,Community_Discussion
TXT_00004,"""Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader ...",Neutral,Community_Discussion
TXT_00005,@user @user If the comment was in reference to the 'Charlie Hebdo' violent attack in january: it is no less repugnant. In my opinion,Negative,Community_Discussion
TXT_00006,@user @user aaaah. Nokia used to make the Best Phone Cameras Ever.  Sadly I think those days may be past.,Negative,Community_Discussion
TXT_00007,Curtis Painter was asked in interviews today if as the lead singer of Nirvana was getting the band back together.,Neutral,Account_Security
TXT_00008,"""When gaza march out pon the battlefield it's a funeral... israel burial, gazaaa me seh""",Negative,Community_Discussion
TXT_00009,"""WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife #Selfie """"",Neutral,Feature_Feedback
TXT_00010,"""1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED""",Neutral,Technical_Issues
TXT_00011,If you're not planning to watch Sharknado 3 tomorrow then idk what you're doing with your life tbh,Neutral,Community_Discussion
TXT_00012,"""B4 d hood was placed on Yakub's face, he insisted that he wanted 2 c d rising sun, which he was not allowed.""",Neutral,Community_Discussion
TXT_00013,"@user If all of the Kpop fans came after 1d people will wake up tomorrow and be like """"who is 1d?""""""",Neutral,Community_Discussion
TXT_00014,If J.Cole and Kendrick Lamar don't realease something February....I'm going to be really sad.,Negative,Community_Discussion
TXT_00015,Lakers vs Heat on Jan. 17th! It\u2019s D Wade\u2019s b day... I feel bad he\u2019ll lose on his birthday lololol,Negative,Community_Discussion
TXT_00016,Nokia n97 microcosm - bear down upon the whole direct over and above utterly comprehensive march: OUYtuJ,Neutral,Technical_Issues
TXT_00017,Avril Lavigne says after debuting spring line for Abbey Dawn she may make own ...,Neutral,Community_Discussion
TXT_00018,"For the 1st time @user has a ""High Startup impact""   Does anyone at @user have a clue? #Windows10Fail",Negative,Community_Discussion
TXT_00019,"""George Osborne: """"Sun will never shine again if Corbyn elected."""" (Well, the Chancellor's defence comments are almost that stupid).""",Negative,Community_Discussion
TXT_00020,"David Cameron is a disgusting liar. Up to his neck in criminality working with corrupt undercover cops, Theresa May covering his back. #GCHQ",Negative,Community_Discussion
TXT_00021,Schedule:  Tomorrow:  Relax Next day:  0.12.1 on IOS (also 1st day of school) Next day:  Die.,Negative,Community_Discussion
TXT_00022,Divas!  Movie night is tomorrow!  Meet at Fazoli's at 5:30pm for dinner.  We will walk over to AMC for the 7:05pm showing of Paper Towns!,Neutral,Community_Discussion
TXT_00023,"""Christians threatened with violence for worshipping Christ. No, not in Saudi Arabia. In Texas.",Negative,Community_Discussion
TXT_00024,Iqaluit just wouldn\u2019t be Iqaluit without the drunks screaming at each other on a Saturday morning ... depressing buggers.,Negative,Technical_Issues
TXT_00025,Anyone looking forward to Bioshock Infinite? Check out this new look at the game!,Neutral,Community_Discussion
TXT_00026,@user i just ordered one from Amazon it'll be here on Friday let's fucking rOLL,Positive,Community_Discussion
TXT_00027,Miss you - Aaliyah on repeat. too many lost ones pop in my mind. Tribute to them may be on the way from me...look out,Negative,Community_Discussion
TXT_00028,Also disturbing is that HICK MORON CLERK has no idea FEDERAL LAW SUPERSEDES STATE LAW! What about GAY couple 1st Admnt rights? @user,Negative,Community_Discussion
TXT_00029,9 months from Friday there is going to be another ginormous Baby Boom #CallinIt,Positive,Community_Discussion
TXT_00030,@user @user We started the window with 2 problem areas. Needing a 1st XI standard DM and a pacey ST as a Plan B/Back up to Kane.,Neutral,Community_Discussion
TXT_00031,oops i'm rewatching nicki's performance for probably the 5th time,Positive,Community_Discussion
TXT_00032,"""After Arsenal sell Song to Barcelona we may as well sell Vermalen,give Szczesny away on a free and make sure our complete spine has gone.""",Negative,Community_Discussion
TXT_00033,The game 1st album 1 song he say he rap like Eazy-E then Nas then 50 cent then dr Dre then Jay-Z then Eazy-E again then like his dead bro,Positive,Community_Discussion
TXT_00034,@user Dustin Johnson good 1st day again. Deja vu on him flopping next few days.,Positive,Community_Discussion
TXT_00035,"""I don't want October to go :''''( Its been sucha good month; The Vampire Diaries S4, Taylor's album, the PLL Halloween episode. WOW!""",Positive,Community_Discussion
TXT_00036,"""Wait, a Thursday night NFL game worth watching...and then throw in the NLCS, wonderful.""",Positive,Community_Discussion
TXT_00037,I\u2019m going to the Duke game on Saturday. Haha. DUKE. What\u2019a joke they are.,Negative,Community_Discussion
TXT_00038,"@user LOL I was talkn abt swansea bro, smh the 4th postion is either u guys or Arsenal that one na STANDARD!",Neutral,Community_Discussion
TXT_00039,"""Just the fact that he has the title \""""Ambassador\"""" should be cool factor enough to make you come see Jon Huntsman on Wednesday at 8pm!""",Positive,Community_Discussion
TXT_00040,"""RT @user Great practice today at @user ...Thanks @user for the good rnds and Milan,Kyle Griffen. Time for lunch and s ...""",Positive,Community_Discussion
TXT_00041,Just bought my ticket to go m watch the Romeo Santos concert in theater. Nov 5 needs to hurry up!! I\u2019m so excited,Positive,Community_Discussion
TXT_00042,@user ur solo masturbation scene in the twilight parody was so hot!!!!watched it when in 8th standard..now in college..memories,Positive,Community_Discussion
TXT_00043,Brock Lesnar's the best thing going in wrestling.   There's not even a close 2nd.,Positive,Community_Discussion
TXT_00044,"""how he should rejoin his companion, who was awaiting him at  Rome.    He set out, and on the Saturday evening reached the Eternal City by""",Positive,Community_Discussion
TXT_00045,Andy Rooney is really sucking it up on the pitch today. Who misses PKs by falling over?,Negative,Community_Discussion
TXT_00046,"On September 3 2009, Madonna's Sticky And Sweet world tour was named the highest-grossing for a solo artist ever....",Positive,Community_Discussion
TXT_00047,good morning to my clique @user @user @user @user loving the friday Addition of Flava in da morning,Positive,Community_Discussion
TXT_00048,Fancy an enhanced acca on your Sunday morning? Take the 9/1 on Espanyol\u002c Lazio & Heracles all winning!,Positive,Community_Discussion
TXT_00049,@user goodnight to you too Ira. see you tomorrow. :),Positive,Community_Discussion
TXT_00050,@user The really interesting people are the ones who take their shirts off in the sun because they saw Twilight.,Positive,Community_Discussion
TXT_00051,"""Up to 1000 soldiers sealed off the Andersonstown area, Belfast and searched for IRA suspects and weapons;4 Nov 1971",Negative,Community_Discussion
TXT_00052,@user Hi! My bias is KAI bc he stole my heart the 1st tym I saw him in Growl. He is my 1st love in KPOP &amp; it's not changing til now,Positive,Community_Discussion
TXT_00053,"""Abraham decisions Stieglitz to win WBO title: In Saturday night action from the O2 World Arena in Berlin, German...",Neutral,Community_Discussion
TXT_00054,Rubbish day not helped by helpful academic who says I've rendered my unborn baby irreparably stupid by having a glass of wine on Sat nights,Negative,Community_Discussion
