text_id,source,post_text,timestamp,likes,comments,shares
news_0001,news,Update on recent cybersecurity incident - Boston Scientific,"Wed, 09 Sep 2026 07:00:00 GMT",,,
news_0002,news,Boston Scientific Restores Key Operations After Cyberattack - WSJ,"Thu, 10 Sep 2026 07:00:00 GMT",,,
news_0003,news,Boston Scientific Fully Restores Operations After Cyberattack - Digital Health News,"Wed, 16 Sep 2026 08:56:00 GMT",,,
news_0004,news,Boston Scientific Unlikely to Meet Forecasts After Cyber Attack - Bloomberg.com,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0005,news,Boston Scientific says cyberattack has disrupted product manufacturing - MedTech Dive,"Fri, 28 Aug 2026 07:00:00 GMT",,,
news_0006,news,Boston Scientific Still Recovering From Cyberattack - securityweek.com,"Mon, 31 Aug 2026 07:00:00 GMT",,,
news_0007,news,Boston Scientific Unlikely to Meet 2026 Sales and Profit Forecast Due to Cyberattack - The HIPAA Journal,"Wed, 09 Sep 2026 07:00:00 GMT",,,
news_0008,news,"Boston Scientific says unlikely to meet 2026 sales, profit forecast after cyberattack - Reuters","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0009,news,Boston Scientific re-evaluates 2027 framework after cyberattack - scanx.trade,"Fri, 18 Sep 2026 03:31:24 GMT",,,
news_0010,news,When a device maker goes dark: What the Boston Scientific cyberattack means for your patients - Medical Economics,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0011,news,"Boston Scientific says cyberattack disrupted order processing, shipping - Cybersecurity Dive","Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0012,news,Cyberattack on Boston Scientific causes global ops disruption - pharmaphorum,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0013,news,Healthcare cyberattacks hit pacemakers and millions of patient records - The Register,"Mon, 31 Aug 2026 07:00:00 GMT",,,
news_0014,news,Boston Scientific cyberattack likely to have ‘material impact’ on financial results - Fierce Biotech,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0015,news,Boston Scientific begins to restore shipping after cyberattack - Supply Chain Dive,"Wed, 09 Sep 2026 07:00:00 GMT",,,
news_0016,news,"Cyber Attack Hits Cardiac Device Maker Boston Scientific, Disrupting Global Operations - CPO Magazine","Thu, 03 Sep 2026 07:00:00 GMT",,,
news_0017,news,Boston Scientific Won’t Meet Guidance Due to Cyberattack - WSJ,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0018,news,"Boston Scientific’s ordering, shipping disrupted in cyberattack - MedTech Dive","Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0019,news,Cyberattack Causes Global Disruption at Boston Scientific - securityweek.com,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0020,news,Boston Scientific Stock Price Drops After Cyberattack Triggers Global Outage - WSJ,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0021,news,Medical device maker Boston Scientific is being hit by a cyberattack. The shares are falling - CNBC,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0022,news,Citi downgrades Boston Scientific as cyberattack recovery compounds competitive pressure - MassDevice,"Fri, 18 Sep 2026 17:28:55 GMT",,,
news_0023,news,"Boston Scientific Struggles With Manufacturing, Shipping Disruptions Following Cyberattack - mddionline.com","Thu, 03 Sep 2026 20:22:11 GMT",,,
news_0024,news,"Boston Scientific hit by cyberattack, global operations affected - Reuters","Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0025,news,Boston Scientific fully restores operations after cyberattack - MedTech Dive,"Fri, 11 Sep 2026 07:00:00 GMT",,,
news_0026,news,"Boston Scientific Slammed After Cyberattack Hamstrings Sales, Profit - Investor's Business Daily","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0027,news,Boston Scientific (BSX) Cyberattack Disrupts Global Orders And Key IT Systems - finance.yahoo.com,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0028,news,Cyberattacks have plagued the medtech industry in 2026 - MedTech Dive,"Fri, 21 Aug 2026 07:00:00 GMT",,,
news_0029,news,"Boston Scientific downgraded at Citi on increasing competition, cyberattack fallout - Seeking Alpha","Thu, 17 Sep 2026 15:12:47 GMT",,,
news_0030,news,"Boston Scientific says unlikely to meet 2026 sales, profit forecast after cyberattack - finance.yahoo.com","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0031,news,Boston Scientific impacted by ongoing cyberattack - Medical Device Network,"Thu, 27 Aug 2026 07:00:00 GMT",,,
