text_id,source,post_text,timestamp,likes,comments,shares
news_0049,news,Cyberattack disrupts Boston Scientific as medtech incidents mount - Insurance Business,2026-08-26 07:00:00+00:00,,,
news_0018,news,"Boston Scientific’s ordering, shipping disrupted in cyberattack - MedTech Dive",2026-08-26 07:00:00+00:00,,,
news_0024,news,"Boston Scientific hit by cyberattack, global operations affected - Reuters",2026-08-26 07:00:00+00:00,,,
news_0011,news,"Boston Scientific says cyberattack disrupted order processing, shipping - Cybersecurity Dive",2026-08-26 07:00:00+00:00,,,
news_0032,news,Cyberattack on Boston Scientific Disrupts Order Processing - mddionline.com,2026-08-26 07:00:00+00:00,,,
news_0021,news,Medical device maker Boston Scientific is being hit by a cyberattack. The shares are falling - CNBC,2026-08-26 07:00:00+00:00,,,
news_0034,news,Medical device maker Boston Scientific says a cyberattack is causing a 'global disruption' to its operations - TechCrunch,2026-08-26 07:00:00+00:00,,,
news_0036,news,Medical device firm Boston Scientific says cyberattack has disrupted shipment processes - The Record from Recorded Future News,2026-08-26 07:00:00+00:00,,,
news_0082,news,Boston Scientific Hammered On Cybersecurity Attack - Investor's Business Daily,2026-08-26 07:00:00+00:00,,,
news_0020,news,Boston Scientific Stock Price Drops After Cyberattack Triggers Global Outage - WSJ,2026-08-26 07:00:00+00:00,,,
news_0040,news,Boston Scientific hit by cyberattack causing ‘disruptions’ to parts of its business - Fierce Biotech,2026-08-26 07:00:00+00:00,,,
news_0077,news,Boston Scientific discloses 'global disruption' in ongoing cyberattack - The Register,2026-08-26 07:00:00+00:00,,,
news_0073,news,"Boston Scientific hit by cyberattack, global operations affected By Reuters - Investing.com",2026-08-26 07:00:00+00:00,,,
news_0041,news,"Boston Scientific cyberattack disrupts global operations, shipments - finance.yahoo.com",2026-08-26 07:00:00+00:00,,,
news_0066,news,Boston Scientific Shares Slide After Cyberattack Disrupts Global Operations - finance.biggo.com,2026-08-26 07:00:00+00:00,,,
news_0043,news,Boston Scientific Stock Slides After Cyberattack Caused ‘Global Disruption’ - Investopedia,2026-08-26 07:00:00+00:00,,,
